investment_id,capex_meuro,uncertainty_pct,opex_meuro_per_year,project_url
385,190.8,,0.55,https://tyndp-data.netlify.app/tyndp2018/projects/projects/124
403,600.0,+-10%,1.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/126
96,190.0,,2.85,https://tyndp-data.netlify.app/tyndp2018/projects/projects/127
86,400.0,,6.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/127
645,160.0,,2.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/127
665,2800.0,+-15%,22.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/130
661,1400.0,10%,11.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/132
680,490.0,10%,3.9,https://tyndp-data.netlify.app/tyndp2018/projects/projects/134
176,290.0,10%,2.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/134
188,710.0,10%,5.7,https://tyndp-data.netlify.app/tyndp2018/projects/projects/135
179,190.0,10%,1.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/135
715,17.1,"-5%, +5%",0.17,https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
800,63.0,"+10%, -10%",0.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
275,39.0,"-5%, +5%",0.19,https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
273,55.0,"-5%, +5%",0.28,https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
258,7.4,"+10%, -10%",0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/142
257,57.0,"+10%, -10%",0.7,https://tyndp-data.netlify.app/tyndp2018/projects/projects/142
262,80.0,"+10%, -10%",1.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/142
256,80.0,"+10%, -10%",1.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/142
238,47.0,"-5%, +5%",0.23,https://tyndp-data.netlify.app/tyndp2018/projects/projects/144
269,30.0,"-5%, +5%",0.15,https://tyndp-data.netlify.app/tyndp2018/projects/projects/144
701,18.0,"-5%, +5%",0.18,https://tyndp-data.netlify.app/tyndp2018/projects/projects/144
705,13.0,"-5%, +5%",0.13,https://tyndp-data.netlify.app/tyndp2018/projects/projects/144
270,65.0,"-5%, +5%",0.46,https://tyndp-data.netlify.app/tyndp2018/projects/projects/144
616,755.0,15.0,4.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/150
987,850.0,+/- 27%,7.6,https://tyndp-data.netlify.app/tyndp2018/projects/projects/153
149,20.0,+-10%,0.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/164
157,610.0,+-10%,4.9,https://tyndp-data.netlify.app/tyndp2018/projects/projects/164
685,230.0,+-10%,1.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/164
677,340.0,+-10%,2.7,https://tyndp-data.netlify.app/tyndp2018/projects/projects/164
998,1970.0,,16.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/167
1118,30.0,"+10%, -10%",0.03,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1567,7.0,"+10%, - 10%",0.028,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1568,22.44,"+5%, - 5%",0.018,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1569,1.0,"+5%, - 5%",0.001,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1571,30.0,"+5%, - 5%",0.03,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1572,6.0,"+5%, - 5%",0.006,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
