Name;Country_ISO3;Lat;Lon;Status
Aubange;"BEL;FRA";49.5671953;5.8044993;Found in BEL
Beznau;"CHE;DEU";47.5541696;8.2297108;Found in CHE
Vado;ITA;44.3174852;11.2581749;Found in ITA
Pradella;CHE;46.8039054;10.3291877;Found in CHE
Magadino;;46.1474272;8.8559472;Found (Global Search)
Bassecourt;CHE;47.3380366;7.2399891;Found in CHE
Foretaille;CHE;46.2444481;6.1341817;Found in CHE
Vandellos;"ESP;FRA;ITA";40.9985238;0.8493534;Found in ESP
La Punt;CHE;46.5788866;9.9253919;Found in CHE
Bonaduz;CHE;46.81132;9.3984396;Found in CHE
Kergord Shetland;NOR;60.2939133;-1.2716446;Found (Global Search)
Greenwire North;"GBR;IRL";;;Not Found
Rejim Maatoug;"ITA;TUN";33.3200444;8.0329992;Found in TUN
Soto De Ribera;"ESP;FRA;GBR";43.3087843;-5.8764676;Found in ESP
Somplago;"AUT;ITA";46.3485069;13.0679208;Found in ITA
Lovedean;"FRA;GBR";50.9082753;-1.022611;Found in GBR
Sima, Eidfjord, Norway;"GBR;NOR";60.5029774;7.1921686;Found in NOR
Kingsnorth;"FRA;GBR";51.1165834;0.8608126;Found in GBR
Castasegna;"CHE;ITA";46.3341643;9.5173527;Found in CHE
Great Island;"GBR;IRL";51.0430875;-1.7522392;Found in GBR
Connahs Quay;"GBR;IRL";53.2327891;-3.0831511;Found in GBR
Finglas Dublin;"GBR;IRL";53.3952024;-6.2952119;Found in IRL
Vierraden;"DEU;POL";53.0978481;14.29611;Found in DEU
Eisenhüttenst Adt;"DEU;POL";;;Not Found
Trawsfynydd;"IRL;GBR";52.901056;-3.9238036;Found in GBR
Saloum Eg Tobruk;LBY;;;Not Found
Pembroke;"IRL;GBR";51.8722133;-8.3432224;Found in IRL
Lodgewood;"IRL;GBR";52.5844491;-6.5298771;Found in IRL
Ishøj Bjæverskov;"DEU;DNK";;;Not Found
Korakia;GRC;37.3602992;23.0640977;Found in GRC
Dunstown, County Kildare, Ireland;"IRL;GBR";;;Not Found
Tonstad;"DEU;NOR";58.6645543;6.7160736;Found in NOR
Louth;"IRL;GBR";53.9062849;-6.5320502;Found in IRL
Woodland;"IRL;GBR";53.2929932;-6.1987036;Found in IRL
Montalto Di Castro;"ITA;TUN";42.3515417;11.6072988;Found in ITA
Lavrio;GRC;37.7142551;24.0548015;Found in GRC
Levitha;GRC;37.0057439;26.464543;Found in GRC
Kinaros;GRC;36.9804458;26.2873158;Found in GRC
Kandeliousa;"EGY;GRC";;;Not Found
Glenluce;IRL;54.6160642;-5.8561121;Found in IRL
Grenwire South;"GBR;IRL";;;Not Found
Audorf;"DEU;DNK";54.3132409;9.7185312;Found in DEU
Niederrhein;"DEU;NLD";51.4013466;6.5096405;Found in DEU
Maritsa East;"BGR;GRC";42.1825797;24.3564833;Found in BGR
Castejon;;40.3817975;-2.5212898;Found (Global Search)
Massenhoven;BEL;51.1990199;4.6349603;Found in BEL
Codrongianos - Lucciana;"FRA;ITA";;;Not Found
Oberzier;"BEL;DEU";50.8658407;6.4738745;Found in DEU
Güstrow;DEU;53.793587;12.1764906;Found in DEU
Dollern;DEU;53.5377917;9.5384929;Found in DEU
St. Peter;AUT;46.6202311;14.3350043;Found in AUT
Isaraltheimottenhofen;"AUT;DEU";;;Not Found
Herbertingen;;48.0600681;9.4346544;Found (Global Search)
Wullenstetten;"AUT;CHE;DEU";48.3164069;10.0688595;Found in DEU
Herbertingen;"AUT;DEU";48.0600681;9.4346544;Found in DEU
Dekani;"ITA;SVN";45.5483275;13.8103444;Found in SVN
Audorf;DEU;54.3132409;9.7185312;Found in DEU
Redipuglia;"ITA;SVN";45.8471782;13.4889599;Found in ITA
Obersielach;"AUT;SVN";46.6630774;14.6839906;Found in AUT
Diemen;NLD;52.3350493;4.9842829;Found in NLD
Ens;NLD;52.27647;6.8866971;Found in NLD
Mikulowa;POL;51.0807728;15.1087348;Found in POL
Otrokovice;"CZE;SVK";49.2088284;17.5353865;Found in CZE
Ladce;"CZE;SVK";49.0373979;18.2872704;Found in SVK
Conneforde;DEU;53.3257698;8.0577591;Found in DEU
Gabcikovo;"HUN;SVK";47.8800206;17.4645271;Found in HUN
Rimavska Sobota;"HUN;SVK";48.3833603;20.0180584;Found in SVK
Villanova;"ITA;MNE";43.0071079;12.3277503;Found in ITA
Revsing;"DEU;DNK;NLD";55.5073104;9.1751007;Found in DNK
Maasvlakte;"DEU;DNK;NLD";51.9543525;4.0197987;Found in NLD
Heide;"DEU;DNK;NLD";54.1948848;9.0928251;Found in DEU
Wehrendorf;DEU;52.3322323;8.3132774;Found in DEU
Cloppenburg East;DEU;;;Not Found
Gramme;BEL;50.4162907;4.4470469;Found in BEL
Bruegel;BEL;50.9634628;4.4497959;Found in BEL
Mercator;BEL;50.9097122;4.3962656;Found in BEL
Stevin;BEL;51.2064994;3.2225878;Found in BEL
Avelgem;BEL;50.7775063;3.4496662;Found in BEL
Bobov Dol;"BGR;SRB";42.3662276;23.0073636;Found in BGR
Nis;"BGR;SRB";43.3528819;24.4123439;Found in BGR
Krusevac;"BGR;SRB";43.58264;21.3264811;Found in SRB
Kraljevo;"BGR;SRB";43.7234519;20.6870792;Found in SRB
Lastva;"BIH;MNE;SRB";42.7008432;18.4753091;Found in BIH
Kragujevac;"BIH;ITA;MNE;SRB";43.9072365;19.2619976;Found in BIH
Kraljevo;"BIH;ITA;MNE;SRB";44.1021019;18.9787768;Found in BIH
Redwitz;DEU;50.1692037;11.2084409;Found in DEU
Gradacac;"BIH;HRV";44.8781486;18.4254813;Found in BIH
Banja Luka;"BIH;HRV";44.7720845;17.1917651;Found in BIH
Lika;"BIH;HRV";44.6258962;15.3436053;Found in HRV
Portile De Fier;"ROU;SRB";46.6074891;23.8327581;Found in ROU
Belgrade;"ROU;SRB";44.7682474;20.458016;Found in ROU
Wpp Cibuk;"ROU;SRB";;;Not Found
Krimpen;NLD;51.914403;4.5887889;Found in NLD
Eindhoven;NLD;51.4485569;5.4501225;Found in NLD
Zwolle;NLD;52.5145653;6.0977204;Found in NLD
Borssele;NLD;51.4254902;3.7379392;Found in NLD
Rilland;"BEL;NLD";51.4164747;4.1812417;Found in NLD
Eemshaven Oude Schip;NLD;;;Not Found
Peterhead;GBR;57.5052909;-1.7813194;Found in GBR
Lienz;"AUT;ITA";46.8298662;12.7681269;Found in AUT
Prati Di Vizze;"AUT;ITA";46.9014583;11.4829078;Found in ITA
Caracoli;ITA;37.966944;13.7255017;Found in ITA
Cirkovce;"HRV;HUN;SVN";46.3948524;15.727405;Found in SVN
Meliti;"GRC;MKD";40.8511628;25.8323248;Found in GRC
Niederrhein;DEU;51.4013466;6.5096405;Found in DEU
Beverwijk;NLD;52.4787896;4.6728396;Found in NLD
Vaneyck;"BEL;NLD";;;Not Found
Pagegiai;LTU;55.133252;21.9104398;Found in LTU
Lietuvos E;"EST;LTU;LVA;POL";55.9005739;23.2595981;Found in LTU
Utena;"EST;LTU;LVA;POL";55.4984381;25.6025772;Found in LTU
Griskonys;LTU;54.510359;24.209227;Found in LTU
Alytus, Lithuania;"EST;LTU;LVA;POL";54.3961344;24.0459268;Found in LTU
Alytus, Lithuania;;54.3961344;24.0459268;Found (Global Search)
Wahle;DEU;52.2717618;10.3634402;Found in DEU
Bitenai, Lithuania;;55.0778055;22.0457311;Found (Global Search)
Gatica, Biscay, Spain;ESP;;;Not Found
- Wind Park Nordergründe;DEU;;;Not Found
Podlog;;45.526278;15.1896499;Found (Global Search)
Berievo;SVN;42.96948;24.89307;Found (Global Search)
Divaca;;45.6869095;14.0125353;Found (Global Search)
Tobrouk;"EGY;GRC;LBY";35.3314926;25.210605;Found in GRC
Bitola;"ALB;MKD";41.0285631;21.3356019;Found in ALB
Ohrid;"ALB;MKD";41.0661403;20.6073888;Found in ALB
Grain West;"DEU;GBR";47.7700174;12.2327471;Found in DEU
Aach;"DEU;LUX";49.7894542;6.5906612;Found in DEU
Lienz;"AUT;ITA;SVN";46.8298662;12.7681269;Found in AUT
Musa;"EST;LTU;LVA;POL";59.1500766;23.7221244;Found in EST
Klaipeda;;55.7127529;21.1350469;Found (Global Search)
Kruonis Hydroelectric, Lithuania;"EST;LTU;LVA;POL";;;Not Found
Jurbarkas;;55.0777077;22.7646945;Found (Global Search)
Lienz;AUT;46.8298662;12.7681269;Found in AUT
Bodelwyddan;"GBR;IRL";53.2705527;-3.5129657;Found in GBR
Bellacorick Replacement;"GBR;IRL";;;Not Found
Maynooth;"GBR;IRL";54.3669206;-6.5528971;Found in GBR
Marex Wind;"GBR;IRL";;;Not Found
Oldstreet;"GBR;IRL";51.7503868;-2.4863321;Found in GBR
Darbenai;"EST;LTU;LVA;POL";56.0231924;21.254035;Found in LTU
Dunowo;"EST;LTU;LVA;POL";54.1097161;16.1077967;Found in POL
Piła Krzewina, Poland;"EST;LTU;LVA;POL";;;Not Found
Krajnik;"EST;LTU;LVA;POL";53.1974005;14.4697273;Found in POL
Morzyczyn;"EST;LTU;LVA;POL";52.431362;18.4063267;Found in POL
Żarnowiec, Pomeranian Voivodeship, Poland;"EST;LTU;LVA;POL";54.7887218;18.0812105;Found in POL
Alqueva;PRT;38.2259008;-7.5371005;Found in PRT
Kilroot Power Station, Northern Ireland;GBR;54.7268406;-5.7641151;Found in GBR
Wadi El Natroon;"EGY;GRC";;;Not Found
Ras Ghareb Wind Farms;"EGY;GRC";;;Not Found
Nuojuankangas;FIN;64.5730097;26.7216697;Found in FIN
Petäjäskoski;FIN;66.271605;25.3342158;Found in FIN
New Burullus Power Plant, Egypt;"EGY;GRC";;;Not Found
Emden;"DEU;NLD";53.3670541;7.2058304;Found in DEU
Wilhelmshaven;DEU;53.5278793;8.106301;Found in DEU
Heidewest;DEU;;;Not Found
Darbnai;LTU;;;Not Found
Paneveys;LTU;;;Not Found
Petäjävesitoivila;FIN;;;Not Found
Pozega;"BGR;SRB";43.845981;20.0356852;Found in SRB
Jagodina;"BGR;SRB";41.6357782;24.3523438;Found in BGR
Sy Pozega;"BGR;SRB";;;Not Found
Sy Pozega;"BGR;BIH;MNE;SRB";;;Not Found
Aruküla Balti Harku Kiisa Paide Rakvere Sindi Substations;"EST;LTU;LVA;POL";;;Not Found
Kemsley Kent;"BEL;GBR";51.3617377;0.7349601;Found in GBR
Norwich Main Substation, UK;"DNK;GBR";;;Not Found
Atherinolakkos;"EGY;GRC";35.0092665;26.1286721;Found in GRC
Viitajärvi;"FIN;SWE";61.2068313;25.0315539;Found in FIN
Kocin;CZE;49.9303801;13.4761378;Found in CZE
Vitkov;CZE;49.7758144;17.7517864;Found in CZE
Westtirol;AUT;47.2439282;10.8742905;Found in AUT
Chania I;GRC;35.5120831;24.0191544;Found in GRC
Damasta;GRC;35.3536553;24.9230469;Found in GRC
Oberjettingen;"CHE;DEU";48.575961;8.7743305;Found in DEU
Montecorvino;ITA;41.5172384;15.1500298;Found in ITA
Chamoson;CHE;46.2013342;7.2232538;Found in CHE
Maritsa East;"BGR;TUR";42.1825797;24.3564833;Found in BGR
Nea Santa;"GRC;TUR";40.842266;22.9204109;Found in GRC
Oskarshamn;"LVA;SWE";57.2632811;16.4443478;Found in SWE
Subotica;"HUN;SRB";46.101872;19.6685307;Found in HUN
Sombor;"HUN;SRB";47.3499401;19.4499686;Found in HUN
Belgrade;"HUN;SRB";47.6689449;19.0757363;Found in HUN
Tobruk, Libya;"ALB;GRC;LBY";32.0773764;23.9599988;Found in LBY
Linoperamata;"BGR;GRC;MKD";35.3379922;25.050432;Found in GRC
Thessaloniki;"BGR;GRC;MKD";41.3791508;23.3630411;Found in BGR
Dubrovo;"BGR;GRC;MKD";41.4703899;22.1461096;Found in MKD
Arachtos;"ALB;GRC;LBY";39.5241807;21.0050569;Found in GRC
Mustvee;EST;58.8479072;26.9300828;Found in EST
Kiisa;EST;59.2378619;24.6874798;Found in EST
Lihula;EST;58.6850508;23.8287566;Found in EST
Pavilosta;"EST;LVA";56.8888663;21.1825221;Found in LVA
Grobiņa, Latvia;"EST;LVA";56.5368569;21.1676042;Found in LVA
Broceni;"EST;LVA";56.6845332;22.5664558;Found in LVA
Baekeland;"BEL;DNK";51.129576;3.788522;Found in BEL
Daxlanden;DEU;49.0014111;8.3386057;Found in DEU
Fi;"EST;FIN";58.3535094;26.6808666;Found in EST
Elwind Off-Shore;"EST;LVA";;;Not Found
Fi;"FIN;SWE";60.2166218;19.9438638;Found in FIN
Hradec;"CZE;DEU";49.7118548;15.2984937;Found in CZE
Paide;"EST;FIN";58.8869266;25.5699121;Found in EST
Goldshöfe;DEU;48.8943642;10.1282565;Found in DEU
Sopi;"EST;FIN";58.4651079;26.3666623;Found in EST
Rakvere;"EST;FIN";59.3482229;26.3617173;Found in EST
Bauler;"DEU;LUX";49.9650754;6.2068809;Found in DEU
Püssi;"EST;FIN";59.3609844;27.0445204;Found in EST
Aruküla;"EST;FIN";59.3650145;25.0736119;Found in EST
Darbenai;LTU;56.0231924;21.254035;Found in LTU
Jylkkä;FIN;64.2817795;24.2054236;Found in FIN
Anaklia, Georgia;"GEO;ROU";42.3954083;41.5657276;Found in GEO
Nybro;"LTU;LVA;SWE";56.7444911;15.9075145;Found in SWE
Ekhyddan;"LTU;LVA;SWE";59.3996497;18.1538451;Found in SWE
Inkoo;"EST;FIN";60.0461105;24.0042086;Found in FIN
Panevezys;LTU;55.7344985;24.3578055;Found in LTU
Rommerskirchen;DEU;51.0633574;6.6978814;Found in DEU
Kofinou, Cyprus;"CYP;EGY";34.8245908;33.3920208;Found in CYP
Solhøjgård;"DEU;DNK";55.6136537;11.1901167;Found in DNK
Stilow;"DEU;DNK";54.0887941;13.5721214;Found in DEU
Aliano;ITA;40.3113743;16.2320074;Found in ITA
Benevento;ITA;41.2476307;14.7057054;Found in ITA
Bolano;ITA;44.1836963;9.8893408;Found in ITA
Galatina;"GRC;ITA";40.1742781;18.1678388;Found in ITA
Beariz;"ESP;PRT";42.4864858;-8.2875733;Found in ESP
Bisamberg;AUT;48.3316817;16.3616015;Found in AUT
Hessenberg;AUT;47.3999996;14.999227;Found in AUT
Wien So;AUT;48.2083537;16.3725042;Found in AUT
Manche;FRA;49.0918952;-1.2454952;Found in FRA
Oléron;FRA;45.9437695;-1.3061227;Found in FRA
Arad, Romania;"ROU;SRB";46.1753793;21.3196342;Found in ROU
Rosiori;"HUN;ROU";47.2567721;21.9520896;Found in ROU
Urechesti;"HUN;ROU";45.6151939;27.1107387;Found in ROU
Targu Jiu Nord;"HUN;ROU";44.357687;23.768997;Found in ROU
Paroseni;"HUN;ROU";45.3644023;23.2612004;Found in ROU
Baru Mare;"HUN;ROU";45.474956;23.1449281;Found in ROU
Pozarevac;"BGR;SRB";44.6199926;21.1854;Found in SRB
Obersielach;AUT;46.6630774;14.6839906;Found in AUT
Riddes;CHE;46.1402773;7.2374698;Found in CHE
Châtelard;CHE;46.4467904;6.9011475;Found in CHE
St Triphon;CHE;46.2926382;6.9784632;Found in CHE
Verbois;CHE;46.1930405;6.028862;Found in CHE
Suceava;"MDA;ROU";47.5209562;25.6452542;Found in MDA
Balti Power Plant, Narva, Estonia;"MDA;ROU";59.353345;28.1200335;Found (Global Search)
Neusiedl am See, Austria;AUT;47.9491855;16.8425149;Found in AUT
Nadab;"HUN;ROU";46.4826938;21.5111174;Found in ROU
Le Havre;FRA;49.4938975;0.1079732;Found in FRA
Kruckel;DEU;51.4545841;7.4153998;Found in DEU
Fos;FRA;42.872245;0.7365421;Found in FRA
Charente-Maritime;FRA;45.7302268;-0.7212876;Found in FRA
Lihula;"EST;LVA";58.6850508;23.8287566;Found in EST
Višegrad, Bosnia and Herzegovina;"BIH;MNE;SRB";43.7864291;19.294097;Found in BIH
Montalto;ITA;43.4985445;11.6655028;Found in ITA
Foggia;ITA;41.5028106;15.4528939;Found in ITA
Villavalle;ITA;42.3432479;14.1113669;Found in ITA
Priolo Gargallo, Sicily, Italy;ITA;37.1579298;15.1860285;Found in ITA
Rossano Calabro, Italy;ITA;39.595173;16.5175366;Found in ITA
Selargius;ITA;39.2569736;9.167555;Found in ITA
Vieselbach;DEU;50.9974944;11.1460437;Found in DEU
Mablethorpe;"GBR;NLD";53.3408271;0.2606772;Found in GBR
Kristiansand;"BEL;DEU;DNK;NOR";51.9972594;7.6069632;Found in DEU
Sørvest F Windfarm;"BEL;DEU;DNK;NOR";;;Not Found
Kristiansand;"DNK;NOR";58.0856276;7.931858;Found in NOR
Seidafjellet;"FIN;NOR";70.2104195;28.3502795;Found in NOR
Lachmatt;CHE;47.5210246;7.6698698;Found in CHE
Fiddes;"DEU;GBR";53.4559447;-2.2164851;Found in GBR
Niederstedem;"DEU;LUX";49.9302779;6.4986224;Found in DEU
Annaba;"DZA;ITA;TUN";36.8982165;7.7549272;Found in DZA
Marsa Dhib;"DZA;ITA;TUN";;;Not Found
De Jebil;"DZA;ITA;TUN";33.0727125;9.081423;Found in TUN
Broceni;"LTU;LVA";56.6845332;22.5664558;Found in LVA
Grobiņa, Latvia;"LTU;LVA";56.5368569;21.1676042;Found in LVA
La Spezia;"ESP;ITA";39.9622582;-4.8136319;Found in ESP
Saaremaa-;"DEU;EST;LVA";58.27382;22.2771058;Found in EST
Regoledo;"CHE;ITA";46.1299085;9.5518313;Found in ITA
Panóias;PRT;37.7606558;-8.3034966;Found in PRT
Derbenai;"LTU;LVA";;;Not Found
Panevezys;"LTU;LVA";55.7344985;24.3578055;Found in LTU
Varduva;"LTU;LVA";56.3879544;22.2049794;Found in LTU
