Inv_index,Tstart,Tstop,from,to,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
810,2012.0,2020.0,1,3,575.0,DC,700.0,320.0,OffshoreDCTransmissionCable,FRA;IRL,2.0,EU,Cross-border,New,Cable/Line,Offshore,0,0
810,2020.0,2024.0,3,4,575.0,DC,700.0,320.0,OffshoreDCTransmissionCable,FRA;IRL,2.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
810,2024.0,2026.0,4,4,575.0,DC,700.0,320.0,OffshoreDCTransmissionCable,FRA;IRL,2.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
811,2012.0,2015.0,2,6,,,,,,ROU,1.0,EU,Internal,,,,0,0
812,2012.0,2015.0,2,6,,,,,,ROU,1.0,EU,Internal,,,,0,0
813,2014.0,2015.0,2,6,,,,,,ROU,1.0,EU,Internal,,,,0,0
886,2014.0,2015.0,2,3,60.0,AC,0.0,380.0,ACTransmissionLine,AUT,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
886,2015.0,2020.0,3,4,60.0,AC,0.0,380.0,ACTransmissionLine,AUT,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
886,2020.0,2024.0,4,5,60.0,AC,0.0,380.0,ACTransmissionLine,AUT,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
889,2014.0,2015.0,3,4,,,500.0,400.0,Phase Shift Transformer,CZE,1.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,0,0
889,2015.0,2018.0,4,5,,,500.0,400.0,Phase Shift Transformer,CZE,1.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,0,0
894,2014.0,2018.0,1,6,65.0,AC,0.0,380.0,Overhead Line,AUT;ISL;ITA;NLD,4.0,Extra-EU,Internal,New,Cable/Line,Onshore,0,0
896,2014.0,2022.0,2,6,58.0,AC,500.0,275.0,ACTransmissionLine,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,0
897,2014.0,2022.0,2,6,61.0,AC,500.0,275.0,ACTransmissionLine,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,0
912,2016.0,2018.0,1,6,,,0.0,400.0,Substation,ALB;SRB;BGR;GRC;MKD,5.0,Extra-EU,Internal,New,Nodal Infrastructure,Onshore,0,0
914,2014.0,2018.0,3,6,35.0,AC,500.0,380.0,Overhead Line,ITA,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
922,2014.0,2018.0,2,6,22.0,AC,300.0,380.0,Overhead Line,ITA,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,0,0
923,2014.0,2018.0,2,6,39.0,AC,300.0,380.0,Overhead Line,ITA,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,0,0
924,2014.0,2016.0,2,6,,,,,,ITA,1.0,EU,Internal,,,,0,0
927,2014.0,2020.0,1,6,310.0,AC,1415.0,400.0,Overhead Line,ESP,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
928,2014.0,2015.0,1,2,184.0,AC,1220.0,400.0,Overhead Line,ESP,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
928,2015.0,2018.0,2,6,184.0,AC,1220.0,400.0,Overhead Line,ESP,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
929,2014.0,2020.0,1,6,60.0,AC,1320.0,400.0,Overhead Line,,,Unknown,Internal,New,Cable/Line,Onshore,0,0
932,2014.0,2018.0,3,6,,,1000.0,400.0,Substation,ITA,1.0,EU,Internal,Upgrade,Nodal Infrastructure,Onshore,0,0
933,2014.0,2018.0,1,6,100.0,AC,1800.0,380.0,Underground Cable,BEL;ISL,2.0,Extra-EU,Internal,New,Cable/Line,Onshore,0,0
934,2014.0,2022.0,1,2,140.0,DC,1400.0,1050.0,OffshoreDCTransmissionCable,BEL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,0
934,2022.0,2026.0,2,2,140.0,DC,1400.0,1050.0,OffshoreDCTransmissionCable,BEL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
935,2014.0,2016.0,1,2,110.0,AC,4482.0,380.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
935,2016.0,2020.0,2,6,110.0,AC,4482.0,380.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
936,2014.0,2015.0,3,6,,,,,,GRC,1.0,EU,Internal,,,,0,0
937,2014.0,2016.0,1,6,,,,,,DEU,1.0,EU,Internal,,,,0,0
939,2014.0,2016.0,2,3,60.0,AC,3336.0,380.0,ACTransmissionLine,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
939,2016.0,2020.0,3,4,60.0,AC,3336.0,380.0,ACTransmissionLine,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
939,2020.0,2022.0,4,6,60.0,AC,3336.0,380.0,ACTransmissionLine,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
940,2014.0,2015.0,1,2,25.0,AC,3336.0,380.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
940,2015.0,2020.0,2,6,25.0,AC,3336.0,380.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
941,2014.0,2016.0,2,3,,AC,890.0,400.0,Substation,PRT,1.0,EU,Internal,New,Nodal Infrastructure,Onshore,0,0
941,2016.0,2020.0,3,6,,AC,890.0,400.0,Substation,PRT,1.0,EU,Internal,New,Nodal Infrastructure,Onshore,0,0
943,2014.0,2018.0,1,6,255.0,DC,900.0,400.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,0
944,2014.0,2015.0,3,6,,,,,,GRC,1.0,EU,Internal,,,,0,0
945,2014.0,2016.0,1,6,,,,,,DEU,1.0,EU,Internal,,,,0,0
