"coef","exp(coef)","se(coef)","robust se","z","Pr(>|z|)","Variable"
0.948207046428735,2.58107775558293,0.235615062006442,0.22500105976633,4.21423369033672,2.50627680923087e-05,"from1:is_EU_1:2"
-0.00765213880443661,0.99237706427356,0.278207540172905,0.280482312118991,-0.0272820726078096,0.978234755533255,"from2:is_EU_1:2"
0.67275018984435,1.95961924152849,0.254201725150987,0.260432759292369,2.58320109832689,0.00978882470007606,"from3:is_EU_1:2"
0.704519508773467,2.02287447793356,0.269356546241896,0.240470981104189,2.92974855235534,0.00339236388795671,"from4:is_EU_1:2"
0.586197382240878,1.79714156324341,0.212249675446636,0.226140556864656,2.59218156339694,0.00953694249805818,"from1:Project_JurisdictionCross-border_1:2"
0.090985469656437,1.09525309073915,0.231494246714503,0.243203941425455,0.374111822050077,0.708321123572895,"from2:Project_JurisdictionCross-border_1:2"
0.213568170207016,1.23808789609952,0.207030871046175,0.195816887990161,1.09065245801346,0.275425837504412,"from3:Project_JurisdictionCross-border_1:2"
0.125544853947232,1.13376602170136,0.219359566348496,0.189808856068053,0.661427799249894,0.508338003038318,"from4:Project_JurisdictionCross-border_1:2"
-0.436212058076404,0.646480619962037,0.265475984278863,0.271118251247752,-1.60893652887199,0.107630221005816,"from1:Infr_TypeUpgrade_1:2"
0.124457492628297,1.13253387839852,0.274044293096938,0.273951942070388,0.454304107821656,0.649609959865286,"from2:Infr_TypeUpgrade_1:2"
0.665615981321356,1.94568866015521,0.266746397298855,0.263752252251789,2.52364093818593,0.0116146492691694,"from3:Infr_TypeUpgrade_1:2"
-0.00843557285307312,0.991599906757901,0.256726760110696,0.220397054556291,-0.0382744355184593,0.969468873347821,"from4:Infr_TypeUpgrade_1:2"
-0.347724336849083,0.706293548486214,0.286064685618076,0.284884807728419,-1.22057873012509,0.222245563668269,"from1:Inv_Element_CategoryNodal Infrastructure_1:2"
0.30689422238396,1.35919718782949,0.287778815276906,0.275549248693563,1.11375452424207,0.265384511100458,"from2:Inv_Element_CategoryNodal Infrastructure_1:2"
0.502011932787295,1.65204172622837,0.27256388662456,0.256455830976694,1.9574986104836,0.050288874991687,"from3:Inv_Element_CategoryNodal Infrastructure_1:2"
-0.222047697976188,0.800877163203748,0.269738571004563,0.273507465662355,-0.811852420329562,0.416876318715413,"from4:Inv_Element_CategoryNodal Infrastructure_1:2"
-1.01323106685598,0.363044062837726,0.293613558241256,0.280686741555523,-3.60982874089746,0.00030639923414158,"from1:Inv_TechnologyDC_1:2"
0.359486299252286,1.43259330125552,0.315261585288926,0.261054097789619,1.37705671849669,0.168494712724264,"from2:Inv_TechnologyDC_1:2"
-0.0591337653539348,0.942580676086097,0.360845895835979,0.3883356521399,-0.152274881350919,0.878970135645529,"from3:Inv_TechnologyDC_1:2"
0.143537695133956,1.15435032337707,0.340984341776904,0.307294146132908,0.46710195081905,0.640426938532184,"from4:Inv_TechnologyDC_1:2"
-1.71162069373577,0.180572901967143,0.285443636563013,0.268655734090078,-6.37105587763812,1.87731224116724e-10,"from1:Covid191_1:2"
-1.883488885587,0.152058663945102,0.354879642585282,0.33058719232342,-5.69740428341926,1.21645234450069e-08,"from2:Covid191_1:2"
-2.29249550179461,0.101014066274387,0.308041073405239,0.268227823834492,-8.54682213434046,1.26523949622338e-17,"from3:Covid191_1:2"
-1.07804736858866,0.340259278356766,0.351415646469973,0.283638370642842,-3.8007811360126,0.000144240663637657,"from4:Covid191_1:2"
1.23890970420093,3.45184787709406,0.276509612323661,0.27760136845378,4.46290921079232,8.08543174126591e-06,"from1:NewDirective1_1:2"
