Inv_index,Duration,from,to,status,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element.type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
1504,8.0,1,6,2,0.0,AC,0.0,0.0,OffshoreSubstation,DEU;DNK;NLD,3.0,EU,Cross-border,New,Nodal Infrastructure,Offshore,1,1
1505,8.0,1,6,2,256.0,DC,2000.0,525.0,OffshoreDCTransmissionCable,DEU;DNK;NLD,3.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
1506,8.0,1,6,2,356.0,DC,2000.0,525.0,OffshoreDCTransmissionCable,DEU;DNK;NLD,3.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
1507,8.0,1,6,2,356.0,DC,2000.0,525.0,OffshoreDCTransmissionCable,DEU;DNK;NLD,3.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
1508,8.0,1,6,2,348.0,DC,2000.0,525.0,OffshoreDCTransmissionCable,DEU;DNK;NLD,3.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
1509,8.0,1,6,2,423.0,DC,2000.0,525.0,OffshoreDCTransmissionCable,DEU;DNK;NLD,3.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
1510,2.0,2,6,2,,AC,,380.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,1
1511,8.0,1,6,2,369.0,DC,2000.0,525.0,OffshoreDCTransmissionCable,DEU;DNK;NLD,3.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
1512,2.0,2,6,2,,AC,,380.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,1
1513,2.0,4,5,1,,DC,,380.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,1
1514,6.0,2,3,1,0.0,AC,0.0,400.0,PhaseShiftingTransformer,DEU;FRA,2.0,EU,Cross-border,Upgrade,Nodal Infrastructure,Onshore,1,1
1514,2.0,3,3,0,0.0,AC,0.0,400.0,PhaseShiftingTransformer,DEU;FRA,2.0,EU,Cross-border,Upgrade,Nodal Infrastructure,Onshore,1,1
1515,2.0,1,2,1,60.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,0,1
1515,4.0,2,6,2,60.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1516,2.0,1,2,1,47.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,0,1
1516,4.0,2,6,2,47.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1517,2.0,1,2,1,16.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,0,1
1517,2.0,2,3,1,16.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1517,2.0,3,6,2,16.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1518,2.0,1,2,1,82.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,New,Cable/Line,Onshore,0,1
1518,2.0,2,3,1,82.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
1518,4.0,3,3,0,82.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
1519,2.0,1,2,1,90.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,New,Cable/Line,Onshore,0,1
1519,2.0,2,3,1,90.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
1519,4.0,3,3,0,90.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
1520,2.0,1,2,1,123.0,AC,0.0,400.0,ACTransmissionLine,BGR;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,1
1520,6.0,2,2,0,123.0,AC,0.0,400.0,ACTransmissionLine,BGR;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1521,2.0,1,2,1,560.0,DC,1000.0,500.0,OffshoreDCTransmissionCable,ITA,1.0,EU,Internal,New,Cable/Line,Offshore,0,1
1521,4.0,2,3,1,560.0,DC,1000.0,500.0,OffshoreDCTransmissionCable,ITA,1.0,EU,Internal,New,Cable/Line,Offshore,1,1
1521,2.0,3,4,1,560.0,DC,1000.0,500.0,OffshoreDCTransmissionCable,ITA,1.0,EU,Internal,New,Cable/Line,Offshore,1,1
1522,2.0,1,2,1,72.0,AC,0.0,400.0,ACTransmissionLine,BGR;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,1
1522,6.0,2,2,0,72.0,AC,0.0,400.0,ACTransmissionLine,BGR;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1523,2.0,1,2,1,0.0,AC,0.0,400.0,OnshoreSubstation,BGR;SRB,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,0,1
1523,6.0,2,2,0,0.0,AC,0.0,400.0,OnshoreSubstation,BGR;SRB,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1524,2.0,1,2,1,48.0,AC,0.0,400.0,ACTransmissionLine,BGR;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,1
1524,6.0,2,2,0,48.0,AC,0.0,400.0,ACTransmissionLine,BGR;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1525,2.0,1,2,1,70.0,AC,0.0,400.0,ACTransmissionLine,BGR;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,1
1525,6.0,2,2,0,70.0,AC,0.0,400.0,ACTransmissionLine,BGR;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1526,8.0,4,4,0,151.0,AC,0.0,400.0,ACTransmissionLine,BIH;MNE;SRB,3.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1527,6.0,4,5,1,59.4,AC,0.0,400.0,ACTransmissionLine,BIH;ITA;MNE;SRB,4.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1528,6.0,4,5,1,0.0,AC,0.0,400.0,OnshoreSubstation,BIH;ITA;MNE;SRB,4.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1529,2.0,1,6,2,,AC,,380.0,Phase Shift Transformer,DEU;NLD,2.0,EU,Cross-border,Upgrade,Nodal Infrastructure,Onshore,0,1
1530,4.0,1,6,2,47.8,AC,,400.0,Overhead Line,BIH;HRV,2.0,Extra-EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1531,4.0,1,6,2,0.0,AC,,400.0,Substation,BIH;HRV,2.0,Extra-EU,Internal,Upgrade,Nodal Infrastructure,Onshore,1,1
1532,8.0,2,2,0,180.0,AC,0.0,400.0,ACTransmissionLine,BIH;HRV,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1533,6.0,2,3,1,68.0,AC,0.0,400.0,ACTransmissionLine,BIH;HRV,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1533,2.0,3,3,0,68.0,AC,0.0,400.0,ACTransmissionLine,BIH;HRV,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1534,6.0,2,3,1,203.0,AC,0.0,400.0,ACTransmissionLine,BIH;HRV,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1534,2.0,3,3,0,203.0,AC,0.0,400.0,ACTransmissionLine,BIH;HRV,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1535,6.0,2,3,1,0.0,AC,0.0,400.0,OnshoreSubstation,BIH;HRV,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1535,2.0,3,3,0,0.0,AC,0.0,400.0,OnshoreSubstation,BIH;HRV,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1536,4.0,1,2,1,2.0,AC,0.0,400.0,ACTransmissionLine,ROU;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1536,4.0,2,2,0,2.0,AC,0.0,400.0,ACTransmissionLine,ROU;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1537,4.0,1,2,1,0.0,AC,0.0,400.0,Transformer,ROU;SRB,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1537,2.0,2,3,1,0.0,AC,0.0,400.0,Transformer,ROU;SRB,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1537,2.0,3,3,0,0.0,AC,0.0,400.0,Transformer,ROU;SRB,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1538,4.0,1,2,1,83.0,AC,0.0,400.0,ACTransmissionLine,ROU;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1538,2.0,2,3,1,83.0,AC,0.0,400.0,ACTransmissionLine,ROU;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1538,2.0,3,3,0,83.0,AC,0.0,400.0,ACTransmissionLine,ROU;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1539,4.0,3,4,1,35.0,AC,0.0,380.0,ACTransmissionLine,NLD,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1539,2.0,4,5,1,35.0,AC,0.0,380.0,ACTransmissionLine,NLD,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1540,4.0,3,4,1,50.0,AC,0.0,380.0,ACTransmissionLine,NLD,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1540,2.0,4,6,2,50.0,AC,0.0,380.0,ACTransmissionLine,NLD,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1541,4.0,1,6,2,165.0,AC,,380.0,Overhead Line,NLD,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1542,2.0,1,6,2,,AC,,0.0,Overhead Line,NLD,1.0,EU,Internal,New,Cable/Line,Onshore,0,1
1543,2.0,4,6,2,,AC,,380.0,Overhead Line,NLD,1.0,EU,Internal,New,Cable/Line,Onshore,0,1
1544,8.0,3,4,1,80.0,AC,0.0,380.0,ACTransmissionLine,BEL;NLD,2.0,EU,Internal,New,Cable/Line,Onshore,1,1
1545,2.0,1,6,2,,AC,,0.0,Overhead Line,NLD,1.0,EU,Internal,New,Cable/Line,Onshore,0,1
1546,4.0,4,6,2,40.0,AC,2645.0,380.0,Overhead Line,NLD,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1547,2.0,1,6,2,,DC,,500.0,Subsea Cable,GBR,1.0,Extra-EU,Internal,New,Cable/Line,Offshore,0,1
1555,6.0,2,2,0,140.0,AC,0.0,220.0,ACTransmissionLine,AUT;ITA,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1556,4.0,4,6,2,139.0,AC,,132.0,Overhead Line,AUT;ITA,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1557,2.0,1,2,1,900.0,DC,1000.0,500.0,OffshoreDCTransmissionCable,ITA,1.0,EU,Internal,New,Cable/Line,Offshore,0,1
1557,2.0,2,3,1,900.0,DC,1000.0,500.0,OffshoreDCTransmissionCable,ITA,1.0,EU,Internal,New,Cable/Line,Offshore,1,1
1557,2.0,3,4,1,900.0,DC,1000.0,500.0,OffshoreDCTransmissionCable,ITA,1.0,EU,Internal,New,Cable/Line,Offshore,1,1
1557,2.0,4,4,0,900.0,DC,1000.0,500.0,OffshoreDCTransmissionCable,ITA,1.0,EU,Internal,New,Cable/Line,Offshore,1,1
1558,2.0,3,4,1,80.0,AC,,400.0,Overhead Line,HRV;HUN;SVN,3.0,EU,Cross-border,New,Cable/Line,Onshore,0,1
1558,2.0,4,5,1,80.0,AC,,400.0,Overhead Line,HRV;HUN;SVN,3.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1559,8.0,1,1,0,35.512,AC,0.0,400.0,ACTransmissionLine,GRC;MKD,2.0,Extra-EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1560,2.0,4,5,1,,AC,,380.0,Overhead Line,NLD,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,0,1
1561,8.0,1,1,0,12.0,AC,0.0,380.0,ACTransmissionLine,BEL;NLD,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1564,2.0,4,5,1,,AC,,110.0,Overhead Line,LTU,1.0,EU,Internal,New,Cable/Line,Onshore,0,1
1565,2.0,4,5,1,40.9,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,0,1
1566,4.0,4,5,1,0.0,AC,0.0,330.0,OnshoreSubstation,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1567,2.0,2,6,2,,AC,,110.0,Overhead Line,LTU,1.0,EU,Internal,New,Cable/Line,Onshore,0,1
1568,2.0,4,5,1,0.0,AC,0.0,400.0,Transformer,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1569,2.0,2,6,2,,DC,,0.0,Substation,,,Unknown,Cross-border,New,Nodal Infrastructure,Onshore,0,1
1570,2.0,2,6,2,,DC,,0.0,Substation,,,Unknown,Cross-border,New,Nodal Infrastructure,Onshore,0,1
1571,2.0,4,6,2,0.0,AC,0.0,0.0,ReactiveCompensationDevice,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1572,2.0,4,4,0,0.0,AC,0.0,0.0,OnshoreSubstation,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1583,6.0,1,6,2,1.0,AC,0.0,380.0,ACTransmissionLine,AUT;CHE;DEU,3.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1584,8.0,2,6,2,0.0,AC,0.0,220.0,OnshoreSubstation,ESP,1.0,EU,Internal,New,Nodal Infrastructure,Onshore,1,1
1593,4.0,1,2,1,38.8,AC,0.0,400.0,ACTransmissionLine,ESP,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1595,4.0,1,2,1,69.12,AC,0.0,400.0,ACTransmissionLine,ESP,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1597,4.0,1,2,1,57.0,AC,0.0,400.0,ACTransmissionLine,ESP,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1613,2.0,2,6,2,,DC,,320.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,1
1614,2.0,1,6,2,,AC,,500.0,Overhead Line,,,Unknown,Internal,Upgrade,Cable/Line,Onshore,0,1
1615,2.0,1,6,2,,AC,,500.0,Overhead Line,,,Unknown,Internal,Upgrade,Cable/Line,Onshore,0,1
1616,2.0,1,6,2,,DC,,500.0,Underground Cable,SVN,1.0,EU,Cross-border,New,Cable/Line,Onshore,0,1
1617,2.0,1,6,2,,AC,,400.0,Overhead Line,,,Unknown,Internal,Upgrade,Cable/Line,Onshore,0,1
1619,4.0,2,6,2,370.0,DC,2000.0,525.0,Subsea Cable,EGY;GRC;LBY,3.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1620,8.0,2,2,0,0.0,AC,0.0,400.0,OnshoreSubstation,DEU;LUX,2.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1622,2.0,3,4,1,151.0,AC,0.0,400.0,ACTransmissionLine,ALB;MKD,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,1
1622,6.0,4,4,0,151.0,AC,0.0,400.0,ACTransmissionLine,ALB;MKD,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1623,2.0,3,4,1,0.0,AC,0.0,400.0,OnshoreSubstation,ALB;MKD,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,0,1
1623,6.0,4,4,0,0.0,AC,0.0,400.0,OnshoreSubstation,ALB;MKD,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1624,2.0,1,6,2,,AC,,400.0,Substation,,,Unknown,Cross-border,New,Nodal Infrastructure,Onshore,0,1
1625,2.0,1,2,1,360.0,AC,0.0,220.0,OffshoreSubstation,BEL,1.0,EU,Internal,New,Nodal Infrastructure,Offshore,0,1
1625,4.0,2,3,1,360.0,AC,0.0,220.0,OffshoreSubstation,BEL,1.0,EU,Internal,New,Nodal Infrastructure,Offshore,1,1
1625,2.0,3,4,1,360.0,AC,0.0,220.0,OffshoreSubstation,BEL,1.0,EU,Internal,New,Nodal Infrastructure,Offshore,1,1
1627,2.0,2,6,2,,AC,,220.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,1
1628,2.0,2,3,1,720.0,DC,1400.0,500.0,OffshoreDCTransmissionCable,DEU;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,1
1628,4.0,3,4,1,720.0,DC,1400.0,500.0,OffshoreDCTransmissionCable,DEU;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1628,2.0,4,4,0,720.0,DC,1400.0,500.0,OffshoreDCTransmissionCable,DEU;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1629,4.0,2,3,1,0.0,AC,0.0,400.0,OnshoreSubstation,DEU;LUX,2.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1629,4.0,3,3,0,0.0,AC,0.0,400.0,OnshoreSubstation,DEU;LUX,2.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1630,4.0,2,3,1,40.0,AC,0.0,400.0,ACTransmissionLine,DEU;LUX,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1630,4.0,3,3,0,40.0,AC,0.0,400.0,ACTransmissionLine,DEU;LUX,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1631,2.0,1,6,2,,AC,,380.0,Overhead Line,AUT;ITA;SVN,3.0,EU,Cross-border,New,Cable/Line,Onshore,0,1
1632,2.0,2,3,1,0.0,AC,0.0,330.0,OnshoreSubstation,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,0,1
1632,4.0,3,4,1,0.0,AC,0.0,330.0,OnshoreSubstation,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1632,2.0,4,4,0,0.0,AC,0.0,330.0,OnshoreSubstation,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1633,2.0,2,6,2,,AC,,330.0,Overhead Line,,,Unknown,Cross-border,New,Cable/Line,Onshore,0,1
1634,2.0,2,3,1,211.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,0,1
1634,4.0,3,4,1,211.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1634,2.0,4,4,0,211.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1635,2.0,2,6,2,,AC,,330.0,Overhead Line,,,Unknown,Cross-border,New,Cable/Line,Onshore,0,1
1636,2.0,2,6,2,,AC,,380.0,Overhead Line,AUT,1.0,EU,Cross-border,New,Cable/Line,Onshore,0,1
1638,4.0,2,3,1,245.0,DC,750.0,320.0,DCTransmissionLine,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1638,2.0,3,3,0,245.0,DC,750.0,320.0,DCTransmissionLine,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1639,2.0,2,6,2,160.0,AC,800.0,275.0,Overhead Line,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1640,2.0,2,6,2,255.0,DC,750.0,320.0,Underground Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1641,2.0,2,6,2,0.0,DC,750.0,320.0,Substation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1642,4.0,2,3,1,0.0,DC,750.0,320.0,OnshoreSubstation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1642,2.0,3,3,0,0.0,DC,750.0,320.0,OnshoreSubstation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1646,4.0,2,3,1,0.0,DC,750.0,320.0,OnshoreSubstation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1646,2.0,3,3,0,0.0,DC,750.0,320.0,OnshoreSubstation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1647,2.0,2,6,2,25.0,AC,400.0,245.0,Underground Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1648,2.0,2,6,2,25.0,AC,400.0,245.0,Underground Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1649,2.0,2,6,2,25.0,AC,400.0,245.0,Phase Shift Transformer,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1650,2.0,2,6,2,20.0,AC,400.0,245.0,Underground Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1651,2.0,2,6,2,0.0,AC,,245.0,Substation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1652,4.0,2,3,1,1.0,AC,0.0,400.0,OnshoreSubstation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1652,2.0,3,3,0,1.0,AC,0.0,400.0,OnshoreSubstation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1653,4.0,2,3,1,1.0,AC,0.0,245.0,OnshoreSubstation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1653,2.0,3,3,0,1.0,AC,0.0,245.0,OnshoreSubstation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1654,2.0,2,6,2,0.0,AC,,245.0,Substation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1655,2.0,2,6,2,0.0,AC,,400.0,Substation,GBR;IRL,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1659,4.0,3,4,1,137.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1659,2.0,4,5,1,137.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1660,4.0,3,4,1,0.0,AC,0.0,330.0,OnshoreSubstation,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1660,2.0,4,4,0,0.0,AC,0.0,330.0,OnshoreSubstation,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1661,2.0,2,3,1,57.11,AC,0.0,400.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1661,2.0,3,4,1,57.11,AC,0.0,400.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1661,2.0,4,4,0,57.11,AC,0.0,400.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1662,2.0,2,3,1,119.0,AC,0.0,400.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1662,2.0,3,4,1,119.0,AC,0.0,400.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1662,2.0,4,4,0,119.0,AC,0.0,400.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1663,2.0,4,5,1,41.5,AC,0.0,400.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1664,2.0,4,4,0,288.5,AC,0.0,400.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1665,2.0,4,4,0,77.0,AC,0.0,400.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1669,4.0,3,4,1,0.0,AC,0.0,0.0,ReactiveCompensationDevice,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1669,2.0,4,4,0,0.0,AC,0.0,0.0,ReactiveCompensationDevice,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,1
1670,4.0,2,3,1,75.0,AC,0.0,400.0,ACTransmissionLine,PRT,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1670,2.0,3,3,0,75.0,AC,0.0,400.0,ACTransmissionLine,PRT,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1673,2.0,1,6,2,90.0,AC,,400.0,Overhead Line,DEU;POL,2.0,EU,Internal,New,Cable/Line,Onshore,1,1
1674,2.0,1,6,2,80.0,AC,,400.0,Overhead Line,DEU;POL,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1675,6.0,1,6,2,475.0,AC,0.0,400.0,ACTransmissionLine,SWE,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1676,4.0,2,6,2,36.0,AC,0.0,380.0,ACTransmissionLine,BEL,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1677,6.0,1,1,0,142.0,DC,700.0,320.0,OffshoreDCTransmissionCable,GBR,1.0,Extra-EU,Internal,New,Cable/Line,Offshore,1,1
1682,6.0,1,1,0,954.0,DC,3000.0,525.0,DCTransmissionLine,EGY;GRC,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1684,2.0,4,5,1,35.0,AC,,380.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
1685,2.0,4,5,1,14.0,AC,,380.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
1686,2.0,4,6,2,210.0,AC,,380.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
1687,2.0,1,6,2,420.0,AC,,500.0,Overhead Line,EGY;GRC,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1688,2.0,4,5,1,290.0,AC,0.0,400.0,ACTransmissionLine,FIN,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
1689,6.0,3,6,2,215.0,AC,0.0,400.0,ACTransmissionLine,FIN,1.0,EU,Internal,New,Cable/Line,Onshore,1,1
1690,2.0,1,6,2,220.0,AC,,500.0,Overhead Line,EGY;GRC,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
