Inv_index,Duration,from,to,status,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element.type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
1261,4.0,3,6,2,,AC,,380.0,Overhead Line,,,Unknown,Internal,Upgrade,Cable/Line,Onshore,0,0
1262,10.0,1,6,2,300.0,DC,700.0,300.0,OffshoreDCTransmissionCable,DEU;SWE,2.0,EU,Cross-border,New,Cable/Line,Offshore,1,0
1263,2.0,1,6,2,,AC,500.0,400.0,Overhead Line,DEU;ROU;SRB,3.0,Extra-EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
1264,8.0,1,1,0,,DC,,0.0,Subsea Cable,BEL,1.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
1266,2.0,1,6,2,85.0,AC,800.0,400.0,Overhead Line,BGR;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,0
1267,2.0,1,6,2,,AC,1000.0,400.0,Overhead Line,BEL;ESP;FRA,3.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
1269,10.0,1,1,0,70.0,AC,0.0,400.0,ACTransmissionLine,HRV;SRB,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,0
1270,6.0,1,6,2,40.0,AC,750.0,400.0,ACTransmissionLine,DEU;POL,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,0
1271,6.0,1,6,2,40.0,AC,750.0,400.0,ACTransmissionLine,DEU;POL,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,0
1272,6.0,1,6,2,0.0,AC,1500.0,400.0,OnshoreSubstation,DEU;POL,2.0,EU,Cross-border,New,Nodal Infrastructure,Onshore,1,0
1273,4.0,1,6,2,60.0,AC,1500.0,400.0,Overhead Line,,,Unknown,Internal,New,Cable/Line,Onshore,0,0
1274,4.0,1,6,2,0.0,AC,1500.0,400.0,Substation,,,Unknown,Cross-border,New,Nodal Infrastructure,Onshore,0,0
1275,4.0,1,6,2,20.0,AC,1500.0,400.0,Overhead Line,DEU;POL,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
1276,6.0,1,6,2,91.0,AC,500.0,400.0,ACTransmissionLine,BIH;HRV,2.0,Extra-EU,Cross-border,Upgrade,Cable/Line,Onshore,1,0
1277,6.0,1,6,2,46.2,AC,500.0,400.0,ACTransmissionLine,BIH;HRV,2.0,Extra-EU,Cross-border,Upgrade,Cable/Line,Onshore,1,0
